id,created_at,account_id,total,refunded
6286739,2019-07-10 02:17:03 UTC,1947778,16200,0
9127352,2019-08-13 14:53:30 UTC,2519458,16200,0
7811366,2019-07-25 13:52:05 UTC,3794176,16200,0
8970842,2019-09-21 19:06:11 UTC,1223291,16200,0
7062359,2019-07-08 12:42:46 UTC,3233485,16200,0
7832400,2019-06-19 06:17:57 UTC,2756168,16200,0
7678435,2019-08-05 05:42:54 UTC,2874686,16200,0
6943200,2019-08-19 11:28:46 UTC,3460444,16200,0
9367534,2019-08-08 06:31:00 UTC,3611882,16200,0
7143430,2019-09-26 13:41:24 UTC,3754761,16200,0
8120080,2019-09-27 06:13:45 UTC,2969071,16200,0
8313503,2019-08-29 09:26:27 UTC,1075581,16200,0
7100032,2019-07-31 09:22:40 UTC,3885091,16200,0
7094488,2019-09-08 14:16:56 UTC,2030833,16200,0
7131517,2019-07-27 00:58:39 UTC,597616,16200,0
8054314,2019-06-27 11:22:10 UTC,3854748,16200,0
7699692,2019-09-05 11:52:29 UTC,1328606,16200,0
8462351,2019-07-19 17:38:02 UTC,329775,16200,0
8922423,2019-07-30 21:06:05 UTC,2697450,16200,0
8212922,2019-07-14 16:00:53 UTC,2173723,16200,0
6944014,2019-06-24 07:26:08 UTC,3734396,16200,0
6449501,2019-07-22 10:09:39 UTC,2006770,16200,0
8458720,2019-10-01 21:00:04 UTC,765835,16200,0
7113022,2019-06-27 02:37:32 UTC,3473314,16200,0
6674878,2019-09-28 12:48:39 UTC,1084275,16200,0
9130803,2019-08-13 17:22:47 UTC,1743293,16200,0
6863460,2019-08-03 13:20:08 UTC,3804114,16200,0
8664724,2019-08-29 10:12:19 UTC,1200938,16200,0
6631123,2019-07-28 17:15:11 UTC,2395476,16200,0
8703912,2019-07-02 15:39:24 UTC,1598792,16200,0
6251718,2019-07-25 12:38:52 UTC,1506498,16200,0
7171937,2019-09-21 19:08:21 UTC,1626986,16200,0
8737143,2019-08-15 05:03:58 UTC,1145570,16200,0
7890194,2019-08-18 08:27:01 UTC,2203621,16200,0
7949547,2019-08-24 22:03:48 UTC,2438915,16200,0
7857018,2019-07-27 17:28:09 UTC,1948443,16200,0
9045463,2019-07-23 05:36:44 UTC,3353207,16200,0
6344416,2019-10-02 22:21:11 UTC,2275820,16200,0
7840412,2019-06-16 21:02:48 UTC,633563,16200,0
7384096,2019-08-11 04:36:39 UTC,3729207,16200,0
8570614,2019-07-14 03:12:22 UTC,1241560,16200,0
7023763,2019-08-04 05:44:59 UTC,2980913,16200,0
7995834,2019-07-02 19:15:16 UTC,1315535,16200,0
7804057,2019-08-05 14:47:45 UTC,1522237,16200,0
8271452,2019-07-22 17:38:02 UTC,1749849,16200,0
7240444,2019-06-30 23:25:47 UTC,820044,16200,0
7948748,2019-07-24 06:43:13 UTC,1039621,16200,0
9088018,2019-08-28 05:29:04 UTC,2173488,16200,0
